Word,idf
COMPUTERLUNCH,6.653202597340764
вечер,2.0628177205404183
САНКТ-ПЕТЕРБУРГ,2.6848319318847933
среда,1.8522260528703385
каникулы,0.48766233126387426
COM,0.3049515075831461
рабочий_день,0.36352459098439366
ANDROID_81,2.8444462792119007
EVOLUTION,6.1847433699464025
BRICKSBREAKERBALLS,4.973962264649551
утро,1.7950759848382625
понедельник,1.7363806614585797
КРАЙ,1.9856443489430544
АЛТАЙСКИЙ,4.144426719117598
ANDROID_1,1.0567817246860858
БИЙСК,6.926340741561288
IPOSEDON,4.9738701624160075
АСТРАХАНСКАЯ,5.62146901446727
АСТРАХАНЬ,5.64065936883951
раннее_утро,2.5370240664391304
RU,3.8436809145610455
JEWELANCIENTTEMPLE,6.103156260421492
выходной,1.493886228192063
воскресенье,2.2347845092556406
CREATIVEJOY,5.455024326723165
ОБЛАСТЬ,0.9804785508608241
ANDROID_601,5.520924724478457
день,0.9189252450541487
ANDROID_9,1.7798276857731519
TANKS,8.10743218838947
AWARDSMEDIAGROUP,8.488875253658748
Z,6.454554147259381
SURVIVAL,5.332599685098771
ZOMBIE,4.900295184948247
вторник,2.1032841473266513
CRAFT,5.598503495762582
ART,4.400326609131293
PUZZLE,3.115835331627339
COLOR,4.501670107514805
PAINT,5.056687329946903
PLANET,5.641915988697896
BY,4.997729635333652
GAME,3.204650531641305
FREE,3.760830098777466
NUMBER,4.238921544508882
POSITIVE,8.334282389433392
НОВОСИБИРСКАЯ,3.270814756002017
четверг,2.1465412817644394
BODY,8.24793436238517
NET,3.441125137720899
BLITZ,3.6824716259921906
WOT,3.7072832330038894
WARGAMING,3.691908417843011
ANDROID_71,4.153670906452906
SHADOWFIGHT3,6.928289426815814
МОСКВА,1.7633697074245864
NEKKI,5.966993006548806
НОВОАЛТАЙСК,8.257714391438808
OHMGAMES,6.482470574241475
поздний_вечер,2.373700995934285
RICHTOPOOR,6.752272924064994
суббота,2.141458934254341
учебный_год,1.185282071097976
FUNGAMES,5.9603023608492425
BATTLETANKSBETA,7.491161485945012
ТЮМЕНЬ,4.933350294946159
НОВОСИБИРСК,3.3447343670643908
ARCADE,5.455173346915676
ANDROID_8,3.224085856393788
MOBISOCIAL,6.752818329041698
НОВГОРОД,4.141778242449084
пятница,2.093665342609138
НИЖЕГОРОДСКАЯ,3.965002432065908
EDKONGAMES,6.031962583614268
ANDROID_7,3.384713901551668
MOBS,6.539433092101562
НИЖНИЙ,4.164148182833358
GAMES,2.4601417658832534
OPENMYGAME,3.5117786006916383
WORDPIZZA,3.903813004727012
ANDROID,2.8161905357251324
1068204657,7.607233657197766
IOS_141,7.106458369285277
ночь,2.8945207229697156
IOS_143,5.977741766454475
1475056821,8.928989497180085
JEWELSANCIENT,6.976917055430236
КАЗАНЬ,3.159707424906763
ТАТАРСТАН,2.9864299044835296
DUDETHEFTAUTO,6.053687992204919
ТВЕРСКАЯ,5.244084276032361
ТВЕРЬ,5.485125669199028
POXELSTUDIOS,6.052062416122219
WORD,4.381509540628937
FINGERLAB,4.88610693453362
СТАВРОПОЛЬ,4.269959601329264
СТАВРОПОЛЬЕ,4.004421969469955
BLOCKPUZZLES,4.886697626926645
ANDROID_11,1.8169912396150376
УФА,4.29071936276565
БАШКОРТОСТАН,3.9613821545800656
SOLITAIRE,4.25661008072943
SUPERTREAT,6.928939833342808
ANDROID_6,4.064455104531215
SANDBOXOL,7.023729654087648
BLOCKYMODS,7.183979007526104
PRONETIS,5.483744559488201
IRONBALL2,5.483897921960705
ОРЕНБУРГ,5.332204245826499
